iter	Passed	Remaining
228	692	2332
229	694	2326
230	696	2318
231	698	2312
232	701	2308
233	703	2303
234	705	2297
235	707	2291
236	709	2285
237	711	2278
238	715	2276
239	716	2270
240	719	2264
241	721	2259
242	722	2251
243	724	2244
244	728	2245
245	730	2240
246	732	2234
247	735	2229
248	737	2222
249	738	2215
250	740	2209
251	743	2206
252	745	2201
253	748	2198
254	751	2194
255	752	2188
256	755	2182
257	758	2180
258	762	2181
259	764	2177
260	766	2170
261	768	2165
262	772	2164
263	775	2160
264	777	2157
265	779	2151
266	781	2146
267	785	2145
268	789	2145
269	791	2140
270	793	2135
271	795	2130
272	798	2126
273	801	2124
274	805	2124
275	808	2121
276	815	2128
277	818	2126
278	821	2122
279	824	2119
280	832	2129
281	835	2127
282	838	2125
283	850	2143
284	853	2142
285	858	2142
286	860	2138
287	863	2134
288	867	2135
289	870	2130
290	874	2129
291	876	2125
292	880	2124
293	882	2119
294	884	2114
295	889	2115
296	892	2111
297	894	2106
298	896	2100
299	897	2094
300	901	2092
301	903	2088
302	905	2083
303	907	2077
304	909	2073
305	911	2067
306	913	2062
307	916	2059
308	918	2054
309	920	2048
310	922	2043
311	924	2037
312	926	2032
313	930	2033
314	933	2029
315	934	2023
316	936	2017
317	938	2011
318	940	2007
319	942	2002
320	945	2000
321	948	1996
322	949	1991
323	951	1985
324	954	1981
325	956	1977
326	959	1974
327	961	1970
328	963	1964
329	965	1959
330	967	1956
331	970	1952
332	973	1949
333	975	1945
334	978	1941
335	980	1938
336	983	1934
337	984	1929
338	989	1930
339	992	1926
340	995	1922
341	997	1918
342	998	1912
343	1000	1908
344	1005	1908
345	1008	1906
346	1010	1902
347	1012	1896
348	1014	1891
349	1018	1892
350	1020	1887
351	1022	1883
352	1026	1880
353	1028	1877
354	1034	1879
355	1036	1875
356	1041	1875
357	1043	1871
358	1047	1870
359	1056	1878
360	1058	1873
361	1061	1870
362	1066	1870
363	1070	1870
364	1072	1866
365	1075	1862
366	1079	1861
367	1081	1857
368	1084	1855
369	1086	1850
370	1091	1851
371	1094	1847
372	1096	1843
373	1098	1839
374	1101	1835
375	1103	1831
376	1108	1831
377	1111	1829
378	1114	1825
379	1116	1821
380	1120	1820
381	1122	1816
382	1125	1813
383	1128	1809
384	1135	1813
385	1140	1813
386	1142	1809
387	1144	1805
388	1146	1800
389	1149	1798
390	1153	1796
391	1156	1793
392	1158	1789
393	1160	1785
394	1162	1781
395	1165	1777
396	1167	1773
397	1169	1769
398	1171	1765
399	1173	1760
400	1176	1757
401	1180	1755
402	1182	1751
403	1184	1747
404	1186	1743
405	1188	1738
406	1190	1734
407	1194	1733
408	1196	1729
409	1199	1725
410	1201	1721
411	1202	1716
412	1204	1712
413	1209	1712
414	1211	1707
415	1213	1703
416	1215	1698
417	1217	1694
418	1219	1690
419	1222	1688
420	1225	1684
421	1226	1680
422	1229	1676
423	1231	1672
424	1233	1668
425	1236	1666
426	1239	1662
427	1240	1658
428	1243	1654
429	1245	1650
430	1247	1646
431	1251	1645
432	1253	1641
433	1254	1636
434	1256	1632
435	1258	1627
436	1259	1622
437	1261	1618
438	1263	1615
439	1265	1611
440	1267	1606
